Start, End, Price, Hours, Minutes
2024-03-02, 2024-03-03,
2024-03-02, 2024-03-04,  
2024-03-02, 2024-03-05,
2024-03-02, 2024-03-06,
2024-03-02, 2024-03-07,
2024-03-02, 2024-03-08,
2024-03-02, 2024-03-09,
2024-03-02, 2024-03-10,
2024-03-03, 2024-03-04,
2024-03-03, 2024-03-05,
2024-03-03, 2024-03-06, 195, 8
2024-03-03, 2024-03-07, 280, 8
2024-03-03, 2024-03-08, 384, 8
2024-03-03, 2024-03-09, 384, 8
2024-03-03, 2024-03-10, 434, 8
2024-03-04, 2024-03-05,
2024-03-04, 2024-03-06,
2024-03-04, 2024-03-07,
2024-03-04, 2024-03-08,
2024-03-04, 2024-03-09,
2024-03-04, 2024-03-10,
2024-03-05, 2024-03-06,
2024-03-05, 2024-03-07,
2024-03-05, 2024-03-08,
2024-03-05, 2024-03-09,
2024-03-05, 2024-03-10,
2024-03-06, 2024-03-07,
2024-03-06, 2024-03-08,
2024-03-06, 2024-03-09,
2024-03-06, 2024-03-10,
2024-03-07, 2024-03-08,
2024-03-08, 2024-03-09,
2024-03-09, 2024-03-10,


